date,type,merchant,category,amount,balance
01-09-2025,Credited,Unknown,Others,45000,
03-09-2025,Debited,Rent,Others,12000,45000
04-09-2025,Debited,Swiggy,Food,250,44750
04-09-2025,Debited,Uber,Transport,120,44630
05-09-2025,Debited,Swiggy,Food,250,44380
05-09-2025,Debited,Uber,Transport,120,44260
06-09-2025,Debited,Swiggy,Food,250,44010
06-09-2025,Debited,Bigbasket,Food,1800,42210
07-09-2025,Debited,Swiggy,Food,250,41960
07-09-2025,Debited,Amazon,Shopping,2200,39760
08-09-2025,Debited,Swiggy,Food,250,39510
08-09-2025,Debited,Uber,Transport,120,39390
09-09-2025,Debited,Swiggy,Food,250,39140
09-09-2025,Debited,Uber,Transport,120,39020
10-09-2025,Debited,Swiggy,Food,250,38770
10-09-2025,Debited,Uber,Transport,120,38650
11-09-2025,Debited,Swiggy,Food,250,38400
11-09-2025,Debited,Uber,Transport,120,38280
12-09-2025,Debited,Swiggy,Food,250,38030
12-09-2025,Debited,Uber,Transport,120,37910
13-09-2025,Debited,Swiggy,Food,250,37660
13-09-2025,Debited,Bigbasket,Food,1800,35860
14-09-2025,Debited,Swiggy,Food,250,35610
14-09-2025,Debited,Amazon,Shopping,2200,33410
15-09-2025,Debited,Swiggy,Food,250,33160
15-09-2025,Debited,Uber,Transport,120,33040
16-09-2025,Debited,Swiggy,Food,250,32790
16-09-2025,Debited,Uber,Transport,120,32670
17-09-2025,Debited,Swiggy,Food,250,32420
17-09-2025,Debited,Uber,Transport,120,32300
18-09-2025,Debited,Swiggy,Food,250,32050
18-09-2025,Debited,Uber,Transport,120,31930
19-09-2025,Debited,Swiggy,Food,250,31680
19-09-2025,Debited,Uber,Transport,120,31560
20-09-2025,Debited,Swiggy,Food,250,31310
20-09-2025,Debited,Bigbasket,Food,1800,29510
21-09-2025,Debited,Swiggy,Food,250,29260
21-09-2025,Debited,Amazon,Shopping,2200,27060
22-09-2025,Debited,Swiggy,Food,250,26810
22-09-2025,Debited,Uber,Transport,120,26690
23-09-2025,Debited,Swiggy,Food,250,26440
23-09-2025,Debited,Uber,Transport,120,26320
24-09-2025,Debited,Swiggy,Food,250,26070
24-09-2025,Debited,Uber,Transport,120,25950
25-09-2025,Debited,Swiggy,Food,250,25700
25-09-2025,Debited,Uber,Transport,120,25580
26-09-2025,Debited,Swiggy,Food,250,25330
26-09-2025,Debited,Uber,Transport,120,25210
27-09-2025,Debited,Swiggy,Food,250,24960
27-09-2025,Debited,Bigbasket,Food,1800,23160
28-09-2025,Debited,Netflix,Entertainment,299,22861
28-09-2025,Debited,Spotify,Entertainment,299,22562
26-09-2025,Debited,Airtel,Utilities,799,21763
01-10-2025,Credited,Unknown,Others,45000,
03-10-2025,Debited,Rent,Others,12000,54763
04-10-2025,Debited,Swiggy,Food,250,54513
04-10-2025,Debited,Bigbasket,Food,1800,52713
05-10-2025,Debited,Swiggy,Food,250,52463
05-10-2025,Debited,Amazon,Shopping,2200,50263
06-10-2025,Debited,Swiggy,Food,250,50013
06-10-2025,Debited,Uber,Transport,120,49893
07-10-2025,Debited,Swiggy,Food,250,49643
07-10-2025,Debited,Uber,Transport,120,49523
08-10-2025,Debited,Swiggy,Food,250,49273
08-10-2025,Debited,Uber,Transport,120,49153
09-10-2025,Debited,Swiggy,Food,250,48903
09-10-2025,Debited,Uber,Transport,120,48783
10-10-2025,Debited,Swiggy,Food,250,48533
10-10-2025,Debited,Uber,Transport,120,48413
11-10-2025,Debited,Swiggy,Food,250,48163
11-10-2025,Debited,Bigbasket,Food,1800,46363
12-10-2025,Debited,Swiggy,Food,250,46113
12-10-2025,Debited,Amazon,Shopping,2200,43913
13-10-2025,Debited,Swiggy,Food,250,43663
13-10-2025,Debited,Uber,Transport,120,43543
14-10-2025,Debited,Swiggy,Food,250,43293
14-10-2025,Debited,Uber,Transport,120,43173
15-10-2025,Debited,Swiggy,Food,250,42923
15-10-2025,Debited,Uber,Transport,120,42803
16-10-2025,Debited,Swiggy,Food,250,42553
16-10-2025,Debited,Uber,Transport,120,42433
17-10-2025,Debited,Swiggy,Food,250,42183
17-10-2025,Debited,Uber,Transport,120,42063
18-10-2025,Debited,Swiggy,Food,250,41813
18-10-2025,Debited,Bigbasket,Food,1800,40013
19-10-2025,Debited,Swiggy,Food,250,39763
19-10-2025,Debited,Amazon,Shopping,2200,37563
20-10-2025,Debited,Swiggy,Food,250,37313
20-10-2025,Debited,Uber,Transport,120,37193
21-10-2025,Debited,Swiggy,Food,250,36943
21-10-2025,Debited,Uber,Transport,120,36823
22-10-2025,Debited,Swiggy,Food,250,36573
22-10-2025,Debited,Uber,Transport,120,36453
23-10-2025,Debited,Swiggy,Food,250,36203
23-10-2025,Debited,Uber,Transport,120,36083
24-10-2025,Debited,Swiggy,Food,250,35833
24-10-2025,Debited,Uber,Transport,120,35713
25-10-2025,Debited,Swiggy,Food,250,35463
25-10-2025,Debited,Bigbasket,Food,1800,33663
